id,IATA,Airport,latitude,longitude,city,hiking,food,nightlife,cost,weather,safety,culture,shopping,beaches,family,romance,adventure,history,arts,parks,walkability,public_transit,cleanliness,outdoors,quiet,trendy,affordability,english_friendly
129052413,ABP,Atkamba,-6.066667,141.1,Atkamba,2,6,7,1,7,1,4,8,10,1,2,10,5,3,8,6,2,3,1,2,9,1,9
128667331,ABQ,Albuquerque,35.042084,-106.609268,Albuquerque,8,5,8,8,1,9,8,8,4,6,4,2,4,6,6,9,5,5,9,5,1,8,6
128668197,ABR,Aberdeen,45.4525,-98.426111,Aberdeen,1,6,3,9,6,9,10,2,1,10,5,9,4,9,4,8,2,8,10,5,9,2,2
128667592,ABS,Abu Simbel,22.372222,31.615278,Abu Simbel,4,6,8,8,7,4,7,6,10,6,1,4,1,2,5,8,10,3,6,8,6,5,6
128667536,ABT,Al-Baha,20.296111,41.634167,Al-Baha,10,3,8,9,7,4,5,8,2,10,6,9,8,8,2,5,8,9,8,8,1,9,10
128668474,ABU,Atambua,-9.133333,124.883333,Atambua,1,9,10,1,3,5,7,9,5,9,3,9,3,6,2,1,7,6,10,7,6,10,3
128668198,ABV,Abuja,9,7.266667,Abuja,1,8,10,2,10,1,5,2,5,6,4,8,1,8,7,2,9,4,10,10,3,9,9
129055881,ABW,Abau,-10.183333,148.7,Abau,8,4,1,6,6,8,4,8,7,4,5,5,9,4,3,8,2,9,10,7,3,8,10
128668314,ABX,Albury,-36.068333,146.976667,Albury,2,3,10,9,7,4,6,10,6,2,4,4,10,6,3,6,3,10,4,5,10,9,9
95674281,ABY,Albany Dougherty County,31.532222,-84.196111,Albany Dougherty County,1,6,1,7,1,7,7,5,9,7,8,7,10,8,9,2,8,6,8,5,3,4,7
95674056,ABZ,Aberdeen,57.204167,-2.198056,Aberdeen,3,3,8,6,5,1,4,10,10,7,4,8,5,3,3,5,1,5,3,1,9,5,3
95673649,ACA,Acapulco,16.755556,-99.766944,Acapulco,5,8,9,4,3,9,8,4,4,2,5,5,7,7,7,9,5,8,2,8,6,4,7
129054812,ACB,Bellaire,44.983333,-85.216667,Bellaire,2,8,7,1,9,9,9,9,8,1,5,9,5,10,9,7,3,2,5,7,2,6,3
128667421,ACC,Accra,5.595278,-0.170833,Accra,3,10,4,3,6,5,4,10,2,7,7,2,10,10,4,2,5,5,7,4,5,2,5
128668049,ACD,Acandi,8.516667,-77.3,Acandi,9,7,9,3,4,1,2,8,7,1,8,9,1,5,2,4,6,5,8,6,4,2,8
95673311,ACE,Lanzarote,28.9502502,-13.6057447,Lanzarote,6,5,1,2,10,10,4,2,4,6,3,6,5,1,2,3,9,6,1,7,1,1,9
216756567,ACF,Alaer Talimu,40.43,81.27,Alaer Talimu,3,2,6,9,6,9,8,7,10,7,2,3,6,5,5,7,9,5,5,7,6,1,10
128668188,ACH,St Gallen Altenrhein,47.4833,9.5667,St Gallen Altenrhein,1,2,10,10,5,10,4,7,8,5,2,10,8,9,2,9,10,2,7,9,6,2,2
128668200,ACI,Alderney,49.706944,-2.215278,Alderney,7,5,10,10,1,6,9,2,6,7,9,1,7,7,2,7,7,7,10,5,2,5,5
129057412,ACJ,Anuradhapura,8.35,80.383333,Anuradhapura,7,5,3,6,5,5,1,8,10,2,8,3,9,2,8,4,2,3,9,4,6,2,3
95674068,ACK,Nantucket,41.256667,-70.059722,Nantucket,8,1,9,2,10,5,10,2,8,1,9,2,9,6,9,9,1,9,5,7,10,2,9
129052977,ACL,Aguaclara,4.75,-73,Aguaclara,1,9,6,1,5,2,7,7,9,10,8,2,1,2,3,5,3,4,2,3,2,2,6
129055882,ACM,Arica,-2,-71.833333,Arica,10,1,3,3,6,4,4,1,7,8,4,9,7,7,2,4,9,4,10,7,6,10,4
129053849,ACN,Ciudad Acuna,29.3329,-101.099,Ciudad Acuna,1,2,7,9,1,8,9,3,8,2,7,4,1,4,3,2,10,8,5,1,10,8,5
218378907,ACO,Cobano,9.69196182319978,-85.0966082902281,Cobano,5,2,8,6,8,5,3,8,4,4,4,1,8,9,8,8,9,2,10,3,7,9,3
128667330,ACP,Sahand,37.354444,46.149722,Sahand,8,8,5,2,10,4,9,9,9,7,8,9,8,1,6,5,6,1,6,1,3,1,7
128668201,ACR,Araracuara,-0.601104,-72.398014,Araracuara,6,8,10,5,4,6,7,4,1,6,4,9,10,6,9,5,7,3,9,5,4,7,3
129054981,ACS,Achinsk,56.266667,90.566667,Achinsk,5,7,5,1,10,10,3,10,3,4,4,1,4,6,1,1,3,9,1,1,5,10,10
95674183,ACT,Waco Municipal,31.607778,-97.230278,Waco Municipal,7,4,1,9,8,9,7,5,1,3,2,10,4,6,9,8,4,5,8,2,4,10,7
129052987,ACU,Achutupo,9.190904,-77.993778,Achutupo,10,9,3,1,2,1,1,3,6,10,2,2,9,2,10,9,6,10,6,10,2,10,6
128667591,ACV,Arcata,40.979167,-124.1075,Arcata,1,6,1,6,4,10,2,5,5,4,2,6,5,7,1,1,9,9,5,9,2,8,7
128668202,ACX,Xingyi,25.085556,104.959444,Xingyi,5,2,9,8,9,6,9,9,3,9,9,1,5,5,6,10,10,8,1,7,5,6,3
104120227,ACY,Atlantic City International,39.45,-74.583333,Atlantic City International,4,3,7,6,9,10,1,7,3,5,5,5,8,3,2,7,5,8,8,5,7,10,6
128668473,ACZ,Zabol,31.085833,61.535,Zabol,2,9,3,7,7,10,5,5,4,9,7,8,5,8,4,3,6,8,2,4,8,6,2
128667332,ADA,Adana,36.983611,35.280833,Adana,3,9,4,10,7,2,5,10,3,2,4,5,8,7,8,9,3,4,10,3,8,9,9
95673399,ADB,Izmir,38.283333,27.15,Izmir,9,2,4,2,1,10,2,4,8,7,1,6,8,2,10,5,4,9,6,8,7,5,8
129054483,ADC,Andakombe,-7.133333,145.733333,Andakombe,10,1,3,2,4,7,4,4,2,7,8,6,6,9,4,1,3,10,10,7,2,9,6
128668203,ADD,Addis Ababa,8.977778,38.798056,Addis Ababa,2,1,10,6,4,3,4,4,6,2,7,8,4,9,1,4,5,4,6,6,8,2,2
95673713,ADE,Aden,12.827778,45.030556,Aden,8,2,9,4,6,5,6,4,6,9,8,1,5,8,5,8,5,9,2,5,7,10,2
128668313,ADF,Adiyaman,37.731369,38.468936,Adiyaman,5,5,4,7,6,1,4,3,10,7,5,4,4,5,2,7,9,5,4,3,5,10,7
129055246,ADG,Adrian,41.86921,-84.07467,Adrian,8,5,8,2,5,7,9,1,9,10,5,6,1,4,3,2,5,1,7,10,5,10,9
129055890,ADH,Aldan,58.6,125.4,Aldan,8,1,5,2,9,2,3,5,4,10,9,10,5,3,5,1,9,9,8,7,6,2,9
129053026,ADI,Arandis,-22.4,15,Arandis,10,7,3,7,4,9,10,10,3,7,10,3,4,7,10,4,2,9,6,4,3,6,9
129051955,ADJ,Amman Civil - Marka,31.95,35.983333,Amman Civil - Marka,10,2,10,2,8,7,1,2,8,3,5,3,5,9,5,1,9,1,5,6,7,9,5
128668204,ADK,Adak Island,51.882778,-176.644722,Adak Island,6,5,4,7,10,9,8,2,9,8,5,2,9,4,6,4,6,6,5,8,3,1,5
104120231,ADL,Adelaide,-34.948333,138.534722,Adelaide,7,3,2,7,6,2,7,4,4,9,7,5,4,1,10,4,4,6,2,6,5,6,4
129056447,ADM,Ardmore Municipal Arpt,34.303056,-97.019444,Ardmore Municipal Arpt,9,6,8,7,10,1,4,7,7,4,3,4,9,10,9,2,3,10,8,10,7,8,2
129052412,ADN,Andes,5.666667,-75.933333,Andes,10,9,7,1,3,1,3,5,2,1,4,2,2,3,8,10,7,9,6,8,10,5,6
129054811,ADO,Andamooka,-31.016667,137.15,Andamooka,6,8,8,7,1,5,10,3,4,2,6,5,8,10,1,6,1,9,4,10,1,2,7
136218710,ADP,Gal Oya,7.336944,81.630278,Gal Oya,6,2,8,1,1,3,10,5,4,7,4,10,3,3,3,7,1,4,10,5,7,4,6
128668048,ADQ,Kodiak,57.754167,-152.483333,Kodiak,5,9,7,2,1,5,1,4,2,9,6,10,5,5,3,2,5,3,4,3,10,10,7
129057723,ADR,Andrews,33.45,-79.566667,Andrews,5,5,7,2,10,1,6,1,5,10,7,7,8,2,3,10,7,2,1,1,5,5,9
129057411,ADT,Ada,34.8,-96.666667,Ada,9,2,2,10,9,7,3,8,4,9,8,8,9,3,2,8,10,5,4,6,9,6,7
128668205,ADU,Ardabil,38.25,48.3,Ardabil,1,5,2,1,9,1,4,1,5,9,3,7,5,8,3,4,4,2,2,5,1,8,7
129055880,ADV,Andover,51.216667,-1.466667,Andover,9,1,2,1,9,9,1,6,4,8,3,4,5,2,7,1,10,6,2,7,1,8,9
129053431,ADW,Camp Springs Andrews AFB,38.816667,-76.866667,Camp Springs Andrews AFB,5,7,8,7,1,10,1,2,1,7,9,7,6,10,8,6,7,7,2,3,10,9,10
129056814,ADY,Alldays,-22.666667,29.05,Alldays,4,10,5,10,2,10,2,1,5,5,1,7,5,1,2,3,2,2,1,9,5,6,3
128668187,ADZ,San Andres Island,12.583333,-81.7,San Andres Island,1,8,5,3,10,5,3,10,5,6,9,6,6,6,4,6,6,10,10,9,2,6,9
129054482,AEA,Abemama,0.483333,173.85,Abemama,1,7,5,6,7,6,1,10,9,7,9,4,9,4,3,8,1,8,1,7,2,5,9
128668206,AEB,Baise,23.7172,106.9506,Baise,9,2,2,4,7,5,1,2,4,2,1,7,1,7,4,9,5,4,10,3,6,8,6
129055245,AED,Aleneva,58.033333,-152.9,Aleneva,2,1,3,5,1,8,2,6,1,1,3,5,1,9,2,7,4,3,3,7,7,10,10
128667329,AEG,Aek Godang,1.400235,99.430276,Aek Godang,5,2,9,10,8,1,6,10,8,7,1,5,9,1,10,3,2,2,4,2,5,1,7
129053025,AEH,Abeche,13.851389,20.850833,Abeche,9,10,4,9,3,5,8,6,9,1,4,7,5,5,4,7,8,5,10,8,1,8,1
129056446,AEI,Algeciras,36.183333,-5.45,Algeciras,2,5,1,10,8,9,5,5,4,6,6,10,10,8,9,5,9,1,9,4,4,8,2
129052411,AEJ,Ahmed Al Jaber,38.823848,-106.125993,Ahmed Al Jaber,10,9,2,4,6,3,9,7,3,2,10,8,4,2,6,8,4,5,8,4,10,2,6
129053850,AEK,Aseki,-7.366667,146.283333,Aseki,1,6,3,4,6,9,3,7,10,8,4,7,10,5,5,1,6,3,3,5,2,5,9
129055879,AEL,Albert Lea,43.68135,-93.36743,Albert Lea,4,9,2,6,8,3,5,9,3,3,2,10,8,10,7,3,2,4,1,2,7,1,10
160928620,AEM,Amgu,45.841667,137.678333,Amgu,9,3,6,1,2,6,6,10,6,1,10,2,4,7,8,4,1,4,7,2,2,1,5
129054810,AEO,Aioun El Atrouss,16.709167,-9.635556,Aioun El Atrouss,1,4,6,4,9,6,6,8,2,10,3,8,9,6,9,10,6,8,9,3,5,3,1
128668190,AEP,Buenos Aires Jorge Newbery,-34.558889,-58.415833,Buenos Aires Jorge Newbery,10,6,6,10,6,6,8,6,1,5,9,5,8,9,8,3,1,3,9,4,6,10,8
114095908,AER,Sochi,43.45,39.9333,Sochi,9,7,5,6,10,2,4,6,2,3,3,9,10,3,8,10,10,8,8,9,1,7,3
128667590,AES,Aalesund Vigra,62.5625,6.105278,Aalesund Vigra,8,4,10,4,9,1,1,4,10,5,3,10,1,10,3,4,9,3,4,1,1,2,1
128668208,AET,Allakaket,66.561667,-152.658333,Allakaket,7,9,8,5,3,7,4,5,2,4,2,4,8,1,10,8,6,7,2,7,3,6,2
129057722,AEU,Abu Musa,25.8875,55.041667,Abu Musa,9,6,10,10,7,8,7,10,1,5,8,9,9,7,9,6,6,6,9,3,6,6,2
95674403,AEX,Alexandria Internation,31.333333,-92.55,Alexandria Internation,9,6,1,9,6,5,7,6,6,8,2,9,9,5,5,10,10,5,7,1,5,10,7
104120368,AEY,Akureyri,65.666667,-18.166667,Akureyri,2,9,3,7,2,10,9,1,10,10,9,1,5,4,9,4,8,10,7,8,10,3,1
128668472,AFA,San Rafael,-34.589167,-68.400556,San Rafael,8,9,5,5,7,6,6,3,2,5,4,10,8,2,7,7,3,3,10,6,5,4,5
129057410,AFD,Port Alfred,-33.583333,26.883333,Port Alfred,7,6,3,3,10,5,7,3,8,1,1,7,9,8,1,1,1,6,7,9,5,6,1
129052975,AFF,Colorado Springs USAF Academy,38.833333,-104.7,Colorado Springs USAF Academy,8,10,5,9,3,10,4,9,8,8,8,5,2,7,1,9,1,6,8,6,1,8,4
129056813,AFI,Amalfi,6.916667,-75.066667,Amalfi,5,5,6,4,2,1,7,5,2,2,8,7,10,6,6,1,5,7,4,10,2,3,1
128668210,AFL,Alta Floresta,-10,-56,Alta Floresta,6,9,6,5,7,9,2,9,2,9,9,1,2,7,9,2,1,7,10,8,1,5,10
129054481,AFN,Jaffrey,42.833333,-72.066667,Jaffrey,5,6,10,6,7,8,10,6,8,7,10,5,9,4,1,10,2,1,5,8,8,4,1
129055244,AFO,Afton,42.7001,-110.943031,Afton,7,9,6,1,10,3,5,8,1,5,2,3,9,9,4,3,9,3,3,1,10,1,9
129053847,AFR,Afore,-9.133333,148.383333,Afore,8,2,3,4,10,6,10,8,8,10,1,4,6,1,10,8,5,4,8,3,2,6,3
128668211,AFS,Zarafshan,41.6136,64.2331,Zarafshan,7,3,3,7,4,5,8,7,3,3,2,5,7,1,5,7,10,9,1,1,5,8,4
129054985,AFT,Afutara,-9.2,160.85,Afutara,6,7,8,8,3,7,3,1,9,6,5,9,5,9,6,10,10,9,9,7,8,6,5
129056445,AFW,Dallas Fort Worth Alliance,32.986667,-97.316667,Dallas Fort Worth Alliance,10,9,3,6,6,7,5,7,3,7,8,7,7,5,9,3,1,8,3,6,3,1,7
129052410,AFY,Afyon,38.733333,30.6,Afyon,2,7,4,8,10,8,6,10,9,10,9,6,8,9,5,8,8,9,1,7,10,10,8
128668186,AFZ,Sabzevar,36.168056,57.595278,Sabzevar,10,5,4,9,7,8,10,7,9,10,4,1,8,4,2,10,5,2,9,6,8,6,2
95673640,AGA,Agadir,30.325619,-9.412708,Agadir,7,10,7,9,3,5,5,5,10,7,4,3,1,5,4,9,4,1,2,9,5,8,10
129051954,AGB,Augsburg,48.425278,10.931667,Augsburg,2,7,2,1,4,8,9,6,2,7,3,2,5,2,6,8,9,3,9,5,4,8,4
129055878,AGC,Pittsburgh Allegheny County,40.354722,-79.93,Pittsburgh Allegheny County,8,6,1,1,4,6,5,5,4,2,10,9,8,10,5,2,8,3,1,9,3,4,10
129054809,AGD,Anggi,-1.383333,133.866667,Anggi,7,7,9,4,1,2,9,6,2,9,1,8,6,6,3,10,4,8,1,4,4,8,6
129057721,AGE,Wangerooge,53.783333,7.916667,Wangerooge,9,8,2,6,3,8,7,4,6,8,3,2,2,9,8,2,9,4,2,8,8,7,7
128668212,AGF,Agen,44.173611,0.598611,Agen,2,8,7,4,7,1,9,10,8,2,4,9,10,9,1,3,1,7,4,6,8,6,1
129053846,AGG,Angoram,-4.168611,144.073889,Angoram,5,4,4,8,1,8,7,10,1,5,3,1,7,5,7,9,3,8,1,9,6,1,2
95673521,AGH,Angelholm Helsingborg,56.293056,12.8625,Angelholm Helsingborg,6,8,5,1,9,7,10,7,6,7,7,2,10,3,4,7,7,6,8,9,5,3,3
129057409,AGI,Wageningen,5.833333,-56.833333,Wageningen,4,9,7,6,7,7,3,2,5,9,6,4,5,8,2,6,6,1,2,4,8,9,1
129052974,AGJ,Aguni,26.589722,127.238056,Aguni,10,7,8,2,1,4,10,7,1,4,7,2,3,4,3,9,5,2,2,10,5,8,7
129056812,AGK,Kagua,-6.403333,143.846667,Kagua,10,5,5,5,10,4,7,3,9,7,2,1,10,3,5,2,1,9,7,7,10,1,9
129054480,AGL,Wanigela,-9.340278,149.155278,Wanigela,9,6,7,8,9,9,10,2,4,7,1,8,8,3,7,6,10,3,10,9,8,2,4
128667328,AGM,Tasiilaq,65.6,-37.683333,Tasiilaq,10,2,2,6,8,1,3,6,8,4,7,5,10,4,2,9,1,9,10,4,4,2,7
128668213,AGN,Angoon,57.503889,-134.583333,Angoon,1,6,1,8,6,2,5,5,1,2,7,6,10,3,10,2,10,4,1,8,3,3,2
129053023,AGO,Magnolia,33.22791,-93.21683,Magnolia,6,9,4,1,10,3,9,4,5,1,5,3,7,10,8,3,6,8,5,5,1,9,4
95565095,AGP,Malaga,36.6765707,-4.4940091,Malaga,4,1,7,7,7,8,5,4,5,2,2,8,2,1,6,1,1,8,10,1,8,10,3
129056444,AGQ,Agrinion,38.604167,21.351944,Agrinion,3,2,1,8,8,5,4,1,3,7,6,8,1,6,1,8,10,2,4,2,5,1,10
95673463,AGR,Agra,27.158333,77.962778,Agra,9,10,3,1,6,3,2,3,4,5,1,6,2,2,9,3,9,5,5,7,5,10,3
95674191,AGS,Augusta Bush Field,33.366389,-81.966944,Augusta Bush Field,8,5,7,7,4,1,8,9,9,3,5,2,9,4,2,8,3,2,8,2,6,2,6
128668214,AGT,Ciudad del Este,-25.461415,-54.843611,Ciudad del Este,5,1,7,4,9,6,7,8,8,9,1,4,5,9,3,2,6,2,5,8,1,5,5
95673515,AGU,Aguascalientes,21.7,-102.316667,Aguascalientes,4,2,2,3,6,3,1,10,2,8,10,7,9,6,8,6,3,9,3,5,1,9,7
129052409,AGV,Acarigua,9.552222,-69.233333,Acarigua,5,3,2,9,9,5,10,1,9,7,5,7,8,9,1,8,5,8,8,3,1,2,9
129055877,AGW,Agnew,-12.15,142.15,Agnew,4,3,3,1,9,2,6,7,4,1,4,7,6,4,2,3,9,2,10,7,5,9,1
128668471,AGX,Agatti Island,10.828351031747,72.1793138644179,Agatti Island,9,7,9,1,6,10,7,1,2,6,2,1,4,6,9,5,3,4,3,7,7,5,3
129057720,AGZ,Aggeneys,-29.28191,18.81366,Aggeneys,9,8,6,8,8,6,10,9,9,1,4,3,10,2,3,1,10,1,2,5,2,5,4
222500228,AHA,Maa Mahamaya,22.9952164770558,83.2008428602394,Maa Mahamaya,3,7,4,4,3,7,4,5,10,8,7,1,4,1,7,6,8,8,5,5,1,3,2
128668215,AHB,Abha,18.233333,42.65,Abha,2,4,10,1,10,4,8,2,5,9,7,1,10,6,10,10,4,8,3,9,1,2,8
129057408,AHC,Herlong,40.15,-120.133333,Herlong,7,8,1,10,10,1,2,5,7,1,1,6,7,3,7,1,5,4,4,1,3,6,5
129052973,AHD,Ardmore Downtown,34.166667,-97.133333,Ardmore Downtown,3,9,1,4,1,1,1,4,2,3,4,4,1,8,2,8,10,9,6,3,3,10,3
128668311,AHE,Ahe,-14.428056,-146.256944,Ahe,9,3,7,1,1,7,4,4,8,9,4,2,8,7,10,3,1,7,4,7,3,7,7
129056811,AHF,Arapahoe,40.3,-99.9,Arapahoe,5,10,2,8,5,9,1,6,3,8,3,5,5,10,10,4,8,8,2,7,2,2,4
129054479,AHH,Amery,45.28107,-92.37519,Amery,6,9,8,2,3,4,4,10,10,1,9,7,4,3,2,8,1,6,10,7,6,3,7
129055242,AHI,Amahai,-3.333333,128.916667,Amahai,1,6,5,7,7,5,8,2,6,8,7,2,1,7,9,9,10,5,2,6,5,3,1
140000526,AHJ,Aba/Hongyuan,32.529167,102.356944,Aba/Hongyuan,3,10,9,3,9,8,10,3,3,7,7,7,3,8,10,7,10,5,8,4,9,10,3
129053022,AHL,Aishalton,2.483333,-59.316667,Aishalton,9,5,3,6,7,7,6,2,3,6,8,3,5,4,7,9,5,2,9,1,6,3,3
156398376,AHM,Ashland (Oregon),42.189404,-122.65686,Ashland (Oregon),8,5,8,10,5,8,2,8,1,8,7,7,9,5,1,10,8,6,3,6,2,6,5
95674395,AHN,Athens Ben Epps,33.9483,-83.3269,Athens Ben Epps,5,4,1,5,9,7,9,5,10,1,1,9,7,2,3,5,10,10,7,9,1,1,2
95674177,AHO,Alghero Sardinia,40.630556,8.288889,Alghero Sardinia,5,2,10,9,1,6,4,3,5,9,7,1,9,1,8,4,6,6,5,7,7,3,6
129056443,AHS,Ahuas,15.441667,-84.425,Ahuas,10,9,6,1,3,5,4,6,8,1,1,10,3,1,4,1,3,7,6,2,1,7,9
129056808,AHT,Amchitka,51.5,179,Amchitka,10,7,2,4,2,9,4,2,3,2,8,9,2,8,9,3,9,2,4,4,1,4,8
128668046,AHU,Al Hoceima Charif Idr,35.179722,-3.836944,Al Hoceima Charif Idr,7,10,6,10,2,7,5,10,8,2,8,4,3,8,5,5,9,2,9,3,1,6,3
129055876,AHY,Ambatolahy,-20.016667,45.533333,Ambatolahy,1,4,10,8,8,1,8,3,9,9,7,4,9,7,7,10,1,10,3,8,9,5,3
129054807,AHZ,Alpe D'Huez,45.083333,6.083333,Alpe D'Huez,10,8,3,1,5,5,2,10,5,5,5,10,9,1,9,1,3,3,7,2,10,5,5
128668047,AIA,Alliance,42.050567,-102.806625,Alliance,8,2,8,2,10,5,5,5,10,7,10,6,4,2,4,6,5,5,9,7,3,5,9
129057719,AIB,Anita Bay,56.233333,-132.383333,Anita Bay,9,10,5,8,6,5,6,3,3,8,8,2,4,4,1,4,2,7,9,2,3,3,1
129052408,AIC,Ailinglapalap,7.278821,168.825497,Ailinglapalap,8,1,2,4,2,6,8,10,8,8,9,4,10,5,4,6,4,1,2,9,10,3,9
129053796,AID,Anderson,40.166667,-85.683333,Anderson,8,10,9,4,3,6,7,10,6,7,7,8,4,1,2,5,1,9,8,5,9,3,2
129057407,AIE,Aiome,-5.166667,144.666667,Aiome,6,1,10,9,7,4,3,4,8,4,6,1,9,6,1,4,8,1,1,3,9,5,4
